    ,title                                                            ,,Production company                                                                                                                                                                               ,Release date                                                                                                                                                  ,Running time                                                                                                                                                                          ,Country                                                      ,Language                                                     ,Running time (int) ,Budget (float) ,Box office (float)   ,Release date (datetime) ,imdb ,metascore ,rotten_tomatoes ,Directed by                                                                                                                                                                                                 ,Produced by                                                                                                                                                                                                                                                                                                                                                        ,Written by                                                                                                                                                                                                                                                                                   ,Based on                                                                                                                                                                                                    ,Starring                                                                                                                                                                                                                                                                                                                             ,Music by                                                                                                                                                                                                                                    ,Distributed by                                                                                                                              ,Budget                                                    ,Box office                                                                                                                          
164,Christopher Robin                                                ,,"['Walt Disney Pictures', '2DUX²']                                                                                                                                                              ","['July 30, 2018 ( Burbank )', 'August 3, 2018 (United States)']                                                                                             ",104 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,104,75000000,197700000,7/30/2018,7.3,60,                ,Marc Forster                                                                                                                                                                                                ,"['Brigham Taylor', 'Kristin Burr']                                                                                                                                                                                                                                                                                                                               ",                                                                                                                                                                                                                                                                                             ,"[""Disney's Winnie the Pooh"", 'Winnie-the-Pooh books by A. A. Milne E. H. Shepard']                                                                                                                      ","['Ewan McGregor', 'Hayley Atwell', 'Jim Cummings', 'Brad Garrett']                                                                                                                                                                                                                                                                 ","['Geoff Zanelli', 'Jon Brion']                                                                                                                                                                                                            ","['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$75 million                                               ,$197.7 million                                                                                                                      
165,The Nutcracker and the Four Realms                               ,,"['Walt Disney Pictures', 'The Mark Gordon Company']                                                                                                                                            ","['October 29, 2018 ( Dolby Theatre )', 'November 2, 2018 (United States)']                                                                                  ",99 minutes                                                                                                                                                                            ,United States                                                ,"['English', 'French']                                      ",99,120000000,174000000,10/29/2018,5.5,39,32%,"['Lasse Hallström', 'Joe Johnston']                                                                                                                                                                       ","['Mark Gordon', 'Larry Franco']                                                                                                                                                                                                                                                                                                                                  ",['Ashleigh Powell']                                                                                                                                                                                                                                                                          ,"['"" The Nutcracker and the Mouse King "" by E. T. A. Hoffmann', 'The Nutcracker by Marius Petipa']                                                                                                       ","['Keira Knightley', 'Mackenzie Foy', 'Eugenio Derbez', 'Matthew Macfadyen', 'Richard E. Grant', 'Misty Copeland', 'Helen Mirren', 'Morgan Freeman']                                                                                                                                                                                ",James Newton Howard                                                                                                                                                                                                                         ,Walt Disney Studios Motion Pictures                                                                                                         ,$120–133 million                                          ,$174 million                                                                                                                        
166,Ralph Breaks the Internet                                        ,,                                                                                                                                                                                                 ,"['November 5, 2018 ( El Capitan Theatre )', 'November 21, 2018 (United States)']                                                                            ",112 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,112,175000000, 529299999.99999994  ,11/5/2018,7.1,71,88%,"['Rich Moore', 'Phil Johnston']                                                                                                                                                                           ",Clark Spencer                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Taraji P. Henson', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk', 'Alfred Molina', ""Ed O'Neill""]                                                                                                                                                                               ",Henry Jackman                                                                                                                                                                                                                               ,Walt Disney Studios Motion Pictures                                                                                                         ,$175 million                                              ,$529.3 million                                                                                                                      
167,Mary Poppins Returns                                             ,,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']                                                                                                                      ","['November 29, 2018 ( Dolby Theatre )', 'December 19, 2018 (United States)']                                                                                ",131 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,131,130000000,349500000,11/29/2018,6.7,66,79%,Rob Marshall                                                                                                                                                                                                ,"['Rob Marshall', 'John DeLuca', 'Marc Platt']                                                                                                                                                                                                                                                                                                                    ",                                                                                                                                                                                                                                                                                             ,"['Mary Poppins', 'by', 'P. L. Travers']                                                                                                                                                                   ","['Emily Blunt', 'Lin-Manuel Miranda', 'Ben Whishaw', 'Emily Mortimer', 'Julie Walters', 'Dick Van Dyke', 'Angela Lansbury', 'Colin Firth', 'Meryl Streep']                                                                                                                                                                         ",Marc Shaiman                                                                                                                                                                                                                                ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$130 million                                              ,$349.5 million                                                                                                                      
168,Dumbo                                                            ,,"['Walt Disney Pictures', 'Tim Burton Productions', 'Infinite Detective Productions', 'Secret Machine Entertainment']                                                                           ","['March 11, 2019 ( Los Angeles )', 'March 29, 2019 (United States)']                                                                                        ",112 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,112,170000000,353300000,3/11/2019,7.2,96,98%,Tim Burton                                                                                                                                                                                                  ,"['Justin Springer', 'Ehren Kruger', 'Katterli Frauenfelder', 'Derek Frey']                                                                                                                                                                                                                                                                                       ",                                                                                                                                                                                                                                                                                             ,"[""Disney 's Dumbo by Otto Englander Joe Grant Dick Huemer"", 'Otto Englander', 'Joe Grant', 'Dick Huemer', 'Dumbo, the Flying Elephant by Helen Aberson Harold Pearl', 'Helen Aberson', 'Harold Pearl']  ","['Colin Farrell', 'Michael Keaton', 'Danny DeVito', 'Eva Green', 'Alan Arkin']                                                                                                                                                                                                                                                     ",Danny Elfman                                                                                                                                                                                                                                ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$170 million                                              ,$353.3 million                                                                                                                      
169,Penguins                                                         ,,"['Disneynature', 'Silverback Films']                                                                                                                                                           ","['April 17, 2019 (United States)']                                                                                                                          ",76 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,76,               ,7.7,4/17/2019,7,69,92%,"['Alastair Fothergill', 'Jeff Wilson']                                                                                                                                                                    ","['Alastair Fothergill', 'Keith Scholey', 'Roy Conli', 'Jeff Wilson']                                                                                                                                                                                                                                                                                             ",David Fowler                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                     ,Harry Gregson-Williams                                                                                                                                                                                                                      ,Walt Disney Studios Motion Pictures                                                                                                         ,                                                          ,"$7.7
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       million                                                                                                                            "
170,Aladdin                                                          ,,"['Walt Disney Pictures', 'Rideback', 'Marc Platt Productions']                                                                                                                                 ","['May 8, 2019 ( Grand Rex )', 'May 24, 2019 (United States)']                                                                                               ",128 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,128,183000000,                     ,5/8/2019,8,86,95%,Guy Ritchie                                                                                                                                                                                                 ,"['Dan Lin', 'Jonathan Eirich']                                                                                                                                                                                                                                                                                                                                   ",                                                                                                                                                                                                                                                                                             ,"[""Disney 's Aladdin by Ron Clements John Musker Ted Elliott Terry Rossio"", 'Ron Clements', 'John Musker', 'Ted Elliott', 'Terry Rossio', 'Aladdin and the Magic Lamp from One Thousand and One Nights'] ","['Mena Massoud', 'Naomi Scott', 'Will Smith', 'Marwan Kenzari', 'Navid Negahban', 'Nasim Pedrad', 'Billy Magnussen']                                                                                                                                                                                                               ",Alan Menken                                                                                                                                                                                                                                 ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$183 million                                              ,                                                                                                                                    
171,Toy Story 4                                                      ,,                                                                                                                                                                                                 ,"['June 11, 2019 ( El Capitan Theatre )', 'June 21, 2019 (United States)']                                                                                   ",100 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,100,200000000,1073000000,6/11/2019,7.8,84,97%,Josh Cooley                                                                                                                                                                                                 ,"['Mark Nielsen', 'Jonas Rivera']                                                                                                                                                                                                                                                                                                                                 ",                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key', 'Jordan Peele', 'Madeleine McGraw', 'Christina Hendricks', 'Keanu Reeves', 'Ally Maki', 'Jay Hernandez', 'Lori Alan', 'Joan Cusack']                                                                                                                  ",Randy Newman                                                                                                                                                                                                                                ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$200 million                                              ,$1.073 billion                                                                                                                      
172,The Lion King                                                    ,,"['Walt Disney Pictures', 'Fairview Entertainment']                                                                                                                                             ","['July 9, 2019 ( Hollywood )', 'July 19, 2019 (United States)']                                                                                             ",118 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,118,250000000,1657000000,7/9/2019,8.5,88,93%,Jon Favreau                                                                                                                                                                                                 ,"['Jon Favreau', 'Jeffrey Silver', 'Karen Gilchrist']                                                                                                                                                                                                                                                                                                             ",                                                                                                                                                                                                                                                                                             ,"[""Disney 's The Lion King by Irene Mecchi Jonathan Roberts Linda Woolverton""]                                                                                                                           ","['Donald Glover', 'Seth Rogen', 'Chiwetel Ejiofor', 'Alfre Woodard', 'Billy Eichner', 'John Kani', 'John Oliver', 'Beyoncé Knowles-Carter', 'James Earl Jones']                                                                                                                                                                    ",Hans Zimmer                                                                                                                                                                                                                                 ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$250–260 million                                          ,$1.657 billion                                                                                                                      
173,Maleficent: Mistress of Evil                                     ,,"['Walt Disney Pictures', 'Roth/Kirschenbaum Films']                                                                                                                                            ","['October 18, 2019']                                                                                                                                        ",119 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,119,185000000,491700000,10/18/2019,6.6,43,40%,Joachim Rønning                                                                                                                                                                                             ,"['Joe Roth', 'Angelina Jolie', 'Duncan Henderson']                                                                                                                                                                                                                                                                                                               ","['Linda Woolverton', 'Noah Harpster', 'Micah Fitzerman-Blue']                                                                                                                                                                                                                              ","[""Disney's Sleeping Beauty"", 'La Belle au bois dormant by Charles Perrault']                                                                                                                            ","['Angelina Jolie', 'Elle Fanning', 'Chiwetel Ejiofor', 'Sam Riley', 'Ed Skrein', 'Imelda Staunton', 'Juno Temple', 'Lesley Manville', 'Michelle Pfeiffer']                                                                                                                                                                         ",Geoff Zanelli                                                                                                                                                                                                                               ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$185 million                                              ,$491.7 million                                                                                                                      
174,Lady and the Tramp                                               ,,"['Walt Disney Pictures', 'Taylor Made']                                                                                                                                                        ","['November 12, 2019 (United States)']                                                                                                                       ",104 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,104,60000000,                     ,11/12/2019,7.3,78,93%,Charlie Bean                                                                                                                                                                                                ,Brigham Taylor                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                             ,"[""Disney 's Lady and the Tramp by Erdman Penner Joe Rinaldi Ralph Wright Don DaGradi"", 'Erdman Penner', 'Joe Rinaldi', 'Ralph Wright', 'Don DaGradi', 'Happy Dan, the Cynical Dog by Ward Greene']      ","['Tessa Thompson', 'Justin Theroux', 'Kiersey Clemons', 'Thomas Mann', 'Janelle Monáe', 'F. Murray Abraham', 'Yvette Nicole Brown', 'Adrian Martinez', 'Ken Jeong', 'Sam Elliott']                                                                                                                                                 ",Joseph Trapanese                                                                                                                                                                                                                            ,Disney+                                                                                                                                     ,$60 million                                               ,                                                                                                                                    
175,Noelle                                                           ,,Walt Disney Pictures                                                                                                                                                                             ,"['November 12, 2019 (United States)']                                                                                                                       ",100 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,100,               ,                     ,11/12/2019,6.3,48,                ,Marc Lawrence                                                                                                                                                                                               ,Suzanne Todd                                                                                                                                                                                                                                                                                                                                                       ,Marc Lawrence                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                            ,"['Anna Kendrick', 'Bill Hader', 'Kingsley Ben-Adir', 'Billy Eichner', 'Julie Hagerty', 'Shirley MacLaine']                                                                                                                                                                                                                         ","['Cody Fitzgerald', 'Clyde Lawrence']                                                                                                                                                                                                     ",Disney+                                                                                                                                     ,                                                          ,                                                                                                                                    
176,Frozen II                                                        ,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']                                                                                                                                      ","['November 7, 2019 ( Dolby Theatre )', 'November 22, 2019 (United States)']                                                                                 ",103 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,103,150000000,1450000000,11/7/2019,6.9,64,77%,"['Chris Buck', 'Jennifer Lee']                                                                                                                                                                            ",Peter Del Vecho                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff']                                                                                                                                                                                                                                                                     ","['Christophe Beck', 'Robert Lopez', 'Kristen Anderson-Lopez']                                                                                                                                                                             ","['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$150 million                                              ,$1.450 billion                                                                                                                      
177,Togo                                                             ,,Walt Disney Pictures                                                                                                                                                                             ,"['December 20, 2019 (United States)']                                                                                                                       ",114 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,114,40000000,                     ,12/20/2019,8,69,                ,Ericson Core                                                                                                                                                                                                ,Kim Zubick                                                                                                                                                                                                                                                                                                                                                         ,Tom Flynn                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                            ,['Willem Dafoe']                                                                                                                                                                                                                                                                                                                     ,Mark Isham                                                                                                                                                                                                                                  ,Disney+                                                                                                                                     ,$40 million                                               ,                                                                                                                                    
178,Timmy Failure: Mistakes Were Made                                ,,"['Walt Disney Pictures', 'Etalon Film', 'Slow Pony Pictures', 'Whitaker Entertainment']                                                                                                        ","['January 25, 2020 ( Sundance )', 'February 7, 2020 ( Disney+ )']                                                                                           ",99 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,99,42000000,                     ,1/25/2020,6.1,60,                ,Tom McCarthy                                                                                                                                                                                                ,"['Alexander Dostal', 'Tom McCarthy', 'Jim Whitaker']                                                                                                                                                                                                                                                                                                             ",                                                                                                                                                                                                                                                                                             ,"['Timmy Failure', 'by Stephan Pastis']                                                                                                                                                                    ","['Winslow Fegley', 'Ophelia Lovibond', 'Craig Robinson', 'Wallace Shawn']                                                                                                                                                                                                                                                          ",Rolfe Kent                                                                                                                                                                                                                                  ,Disney+                                                                                                                                     ,$42 million                                               ,                                                                                                                                    
179,Onward                                                           ,,"['Walt Disney Pictures', 'Pixar Animation Studios']                                                                                                                                            ","['February 21, 2020 ( Berlinale )', 'March 6, 2020 (United States)']                                                                                        ",102 minutes                                                                                                                                                                           ,United States                                                ,                                                             ,102,175000000,136400000,2/21/2020,7.4,61,88%,Dan Scanlon                                                                                                                                                                                                 ,Kori Rae                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']                                                                                                                                                                                                                                                           ","['Mychael Danna', 'Jeff Danna']                                                                                                                                                                                                           ","['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$175–200 million                                          ,$136.4 million                                                                                                                      
